question,evaluation,word_tokens,sentiment
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,north,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hall,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,assuming,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,prehistoric,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,mammals,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,paragraph,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,referencing,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,humans,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,lines,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,mammals,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,grew,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,unprecedented,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sizes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,explosion,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,diversity,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,mammals,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,stands,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,reads,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,museum,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,evolution,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,culminating,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,appearance,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,humans,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,north,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hall,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,focusing,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,prehistoric,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,mammals,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,paragraph,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,human,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,evolution,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,66,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,million,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,ago,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,massive,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,asteroid,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,devastated,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,surface,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,planet,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,earth,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,simply,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,suggest,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,truncate,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,timing,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,keeping,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,readers,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,captivated,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,unrelated,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,disjointed,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,expecting,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,description,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,contents,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,north,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hall,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,description,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,introduction,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,factoid,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,overview,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,relate,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,exhibit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,theme,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,overly,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,simplistic,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,standards,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,expect,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,yale,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,led,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,humans,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,north,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hall,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,descriptive,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,uninteresting,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,fit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,lower,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,font,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,include,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,short,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,happened,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,plants,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,ocean,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,affected,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,autotrophs,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,heavily,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,impacted,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,explanatory,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,pull,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,human,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,centric,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,statement,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,read,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,times,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hard,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,massive,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,asteroid,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,planet,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,66,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,million,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,ago,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,forever,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,altered,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sizes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,fonts,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,colors,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,easy,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,understand,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,label,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,missing,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,slightly,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,information,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,world,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,finally,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,recovered,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,world,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,recover,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,catastrophe,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,information,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,explained,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,exhibit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,information,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,label,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,exhibit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,museum,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,rockies,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,exhibit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,found,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,tour,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,combined,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,exhibit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,helped,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,deepen,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,understanding,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,dinosaurs,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,gradually,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,decreasing,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,font,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sizes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,bit,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,awkward,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,read,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,vague,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,read,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,plant,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,species,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,line,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,followup,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,label,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,structured,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,north,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hall,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,title,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,related,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,content,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,assume,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,talking,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hall,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,i.e,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,donors,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sentence,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,hard,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,grasp,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,form,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,inverted,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,information,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,logical,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,chronology,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,easier,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,understand,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,read,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,66,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,million,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,ago,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,devastating,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,asteroid,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,struck,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,earth,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,changing,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,history,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,single,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,day,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,lead,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,exciting,positive
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,headline,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,66,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,million,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,ago,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,life,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,earth,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,changed,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,firey,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,instant,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,similar,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,catch,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,attention,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,rest,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,text,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,yup,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,makes,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,sense,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,humans,NA
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,catastrophe,negative
"North Hall 4: Does all of the text make sense to you? If not, what doesn't make sense and how can we improve it?",Evaluation A,guessing,NA
